limit_bal,sex,education,marriage,age,pay_amt6,default_payment_next_month
160000,2,2,2,25,0,0
140000,2,1,2,28,4000,0
160000,2,2,2,27,2500,0
50000,1,2,2,23,2400,0
160000,2,2,1,37,7736,0
50000,2,1,2,24,1400,0
230000,2,1,2,37,0,0
240000,1,1,2,37,65935,0
400000,2,1,2,31,0,0
240000,2,2,1,37,0,1
170000,1,2,2,31,3000,0
630000,2,2,2,41,0,0
200000,2,1,2,31,1103,0
80000,2,3,1,49,7990,0
20000,2,1,2,24,12111,0
180000,1,2,1,34,2440,0
20000,2,3,1,25,0,0
50000,2,2,1,43,501,0
310000,1,1,2,30,39544,0
30000,1,3,3,54,0,0
100000,2,3,1,50,2500,1
50000,2,2,1,24,1000,0
500000,2,3,2,42,0,0
180000,2,1,2,36,6915,0
10000,2,3,2,22,0,1
180000,2,1,2,36,6915,0
270000,1,2,2,37,2000,0
60000,1,1,2,29,0,1
150000,2,2,1,25,316,0
200000,1,1,2,39,0,0
80000,1,1,2,35,2418,0
50000,1,1,2,27,0,0
200000,2,3,2,34,66,0
30000,2,2,1,32,4985,0
50000,1,3,2,55,994,1
20000,2,3,1,25,0,0
100000,1,1,2,32,3200,0
180000,1,2,1,34,2440,0
300000,2,2,2,31,4141,0
360000,2,2,2,52,789,0
120000,1,1,2,34,0,0
220000,2,2,1,41,325,1
180000,2,2,1,32,2000,1
50000,1,1,2,24,2130,0
260000,2,1,2,58,0,1
230000,2,6,2,46,7000,0
60000,1,2,2,23,616,1
60000,1,1,2,25,2000,0
50000,1,1,2,30,0,1
240000,2,3,1,50,7714,1
10000,1,3,2,23,175,0
110000,2,4,2,24,4000,0
210000,2,3,1,53,0,0
20000,2,1,1,30,0,1
380000,1,1,2,43,0,1
200000,1,1,1,36,0,0
120000,1,2,2,26,5000,0
180000,1,1,1,45,2576,0
500000,1,1,1,43,0,1
80000,1,1,2,25,14000,0
50000,2,2,2,24,3000,1
20000,1,1,2,40,0,0
360000,2,2,2,52,789,0
120000,2,2,1,25,0,0
30000,2,2,2,22,1560,0
260000,2,2,1,31,38923,0
80000,2,1,2,23,1700,1
150000,2,3,2,28,3050,0
80000,2,2,2,43,882,0
250000,2,1,1,34,3920,0
280000,2,2,1,56,6321,0
140000,1,1,2,29,2265,0
230000,1,2,2,58,0,0
100000,2,3,3,43,1000,0
310000,1,1,2,32,4223,0
230000,2,2,1,32,2800,1
200000,2,1,1,35,0,0
200000,2,1,2,37,5000,0
230000,2,1,2,28,2000,0
40000,1,1,2,27,2078,1
50000,1,1,2,27,0,0
110000,1,1,1,40,5742,0
110000,2,3,0,31,8954,0
140000,1,3,1,36,3300,0
330000,2,1,1,50,258,0
90000,2,2,2,32,0,0
20000,1,2,2,23,104,0
50000,1,3,2,37,0,1
80000,2,2,1,32,3100,0
210000,2,2,1,35,2000,0
20000,1,2,2,49,0,0
360000,1,1,2,26,0,0
280000,1,1,1,41,4437,0
30000,1,1,2,28,0,0
300000,1,1,1,42,2709,1
20000,1,2,1,38,0,1
140000,2,2,2,23,1700,0
250000,1,1,2,29,3000,0
160000,2,2,1,33,0,0
20000,1,1,2,29,330,0
310000,1,1,2,32,4223,0
400000,2,2,2,41,6012,0
30000,1,2,2,39,148,0
130000,2,3,1,28,0,0
30000,2,2,2,51,967,0
230000,1,2,2,58,0,0
420000,1,2,1,34,20000,0
190000,2,1,2,26,1400,0
170000,2,2,1,33,4500,0
50000,1,2,2,27,390,0
260000,1,1,2,44,316,0
200000,1,1,2,28,10000,0
360000,2,1,1,30,0,0
300000,1,1,1,40,0,0
180000,2,2,1,30,1000,0
180000,2,2,2,28,2000,0
200000,2,2,1,58,185652,0
160000,2,1,1,33,1145,0
50000,1,3,1,46,2000,0
130000,2,2,1,51,0,0
210000,2,2,1,41,419,1
200000,2,1,2,26,2015,0
150000,2,2,2,25,2880,0
50000,1,2,1,48,2500,0
360000,2,1,1,40,4700,1
230000,2,1,2,28,0,0
260000,2,1,1,34,7725,0
80000,2,2,2,23,0,0
230000,2,1,1,35,6000,0
60000,1,3,2,30,0,1
220000,2,1,1,41,0,1
180000,1,2,1,36,0,1
220000,2,2,2,27,153504,0
400000,1,2,1,34,5712,0
350000,1,1,1,48,1500,0
360000,2,2,2,53,8736,0
160000,2,2,2,60,0,1
20000,2,3,1,25,0,0
180000,1,2,2,26,62,1
380000,1,1,2,30,0,1
240000,2,2,2,26,3520,0
450000,2,1,1,40,1128,1
310000,2,2,1,49,0,0
10000,1,2,2,27,700,1
30000,2,2,1,46,800,0
150000,1,3,1,37,4221,1
60000,2,1,2,28,7000,0
50000,1,2,2,30,0,0
110000,2,2,2,26,0,0
60000,1,2,2,25,2435,0
20000,1,2,2,23,10000,1
20000,2,1,2,22,0,0
200000,2,3,2,30,4500,0
320000,1,1,1,60,52466,1
50000,1,2,2,33,716,1
150000,1,1,2,41,472,1
110000,2,1,2,27,2800,0
420000,1,2,1,34,11326,0
310000,2,1,2,38,0,0
20000,2,2,3,52,641,0
280000,1,2,1,41,5000,0
180000,2,2,1,30,1000,0
300000,2,2,2,35,15000,0
70000,2,2,1,37,2700,0
420000,2,2,2,31,2324,0
230000,2,6,2,46,7000,0
350000,1,1,2,52,5011,0
250000,2,1,1,34,3920,0
110000,2,1,2,24,3000,0
390000,2,1,2,27,7000,1
10000,1,2,2,46,251,1
20000,2,1,2,24,12111,0
180000,2,2,2,35,0,0
50000,2,2,2,22,567,0
240000,2,2,1,37,6000,0
50000,1,2,2,29,6318,0
230000,2,3,1,32,5000,0
10000,2,2,1,31,322,0
300000,2,1,2,30,746,0
380000,1,2,2,32,8251,0
90000,1,2,1,40,0,1
30000,2,3,2,52,0,1
180000,2,1,2,32,176,0
50000,1,2,2,33,716,1
60000,2,2,1,46,1500,0
90000,2,1,2,34,2000,0
60000,1,3,1,38,0,0
90000,1,3,2,42,1300,1
280000,2,1,2,39,0,0
10000,1,3,2,23,175,0
60000,2,2,2,29,420,0
50000,2,1,2,24,1400,0
50000,2,1,2,25,1000,0
10000,1,2,2,27,700,1
50000,1,1,1,56,1017,1
310000,2,1,2,38,0,0
50000,2,2,2,24,3000,1
170000,2,2,2,28,95,1
50000,2,1,2,52,0,0
80000,1,1,2,35,2418,0
30000,2,2,2,51,967,0
240000,1,1,2,44,7000,1
150000,2,2,1,39,2000,0
50000,2,3,1,22,197,0
90000,2,2,2,24,102,0
150000,2,1,3,30,2050,0
400000,2,1,1,40,8595,0
140000,2,1,2,26,7004,0
30000,1,6,1,53,0,0
80000,2,2,1,36,1035,0
170000,2,2,2,27,6200,0
90000,2,1,2,24,764,1
160000,2,2,0,37,426,0
50000,1,2,2,32,1590,0
30000,1,2,2,34,512,0
200000,2,1,2,29,1000,0
110000,1,2,2,29,2000,1
360000,1,1,2,33,4000,0
110000,2,2,2,33,102,1
230000,2,2,1,28,1000,1
200000,2,2,1,58,185652,0
20000,2,1,2,22,0,0
440000,2,1,2,29,6010,0
50000,2,3,1,46,654,0
330000,2,1,1,50,258,0
180000,1,1,1,46,7000,0
20000,1,3,2,44,1500,0
360000,1,1,1,43,68978,0
70000,2,2,1,37,2700,0
80000,2,2,2,25,2000,1
150000,1,2,1,43,5334,0
90000,1,3,2,42,1300,1
10000,1,2,2,27,700,1
130000,2,1,1,35,2090,0
50000,1,3,2,55,994,1
30000,2,2,2,22,0,1
60000,1,1,2,29,0,1
150000,1,1,1,40,4200,0
180000,2,3,1,39,2000,1
150000,2,2,1,25,316,0
180000,1,1,2,27,0,1
210000,2,1,1,42,0,1
260000,2,2,1,46,12151,0
60000,2,2,2,29,420,0
50000,1,2,2,23,600,0
130000,1,2,1,31,780,0
120000,1,1,2,34,0,0
50000,1,2,2,30,0,0
130000,2,2,2,40,500,1
330000,1,1,2,25,2566,0
260000,2,1,2,30,6000,0
290000,2,1,2,29,0,1
100000,1,1,2,35,47970,0
20000,2,2,3,52,641,0
30000,2,3,2,22,0,1
330000,2,1,1,37,0,0
150000,1,3,1,37,4221,1
240000,2,2,2,30,1883,0
50000,2,1,2,24,1400,0
260000,2,2,1,35,25000,0
180000,2,1,2,32,176,0
20000,1,1,2,29,330,0
20000,1,1,2,40,0,0
110000,1,1,1,40,5742,0
140000,2,2,1,48,1347,0
490000,2,1,1,38,1139,0
290000,2,2,2,26,4900,0
280000,1,1,2,31,781,0
20000,2,1,2,24,12111,0
80000,2,1,1,28,276,1
90000,2,3,3,51,525,1
130000,1,3,2,43,9546,1
130000,1,2,2,29,8000,0
360000,2,1,2,26,2963,0
40000,2,1,2,29,0,1
120000,2,2,2,25,4400,0
400000,2,1,2,40,7700,0
210000,2,2,1,33,546,0
360000,1,2,2,29,7300,0
110000,2,2,2,32,3000,0
50000,2,3,1,51,0,1
50000,1,2,1,41,618,0
150000,2,2,1,34,0,0
70000,2,2,2,28,0,0
360000,2,1,2,27,40000,0
360000,2,1,2,25,0,1
140000,1,1,2,29,2265,0
50000,2,2,2,22,0,0
90000,2,3,3,51,525,1
50000,2,1,2,24,389,0
50000,1,3,1,57,600,0
500000,2,1,1,34,15816,0
140000,2,1,2,28,4000,0
20000,1,1,2,29,330,0
20000,2,1,2,25,800,0
100000,1,1,2,32,2504,0
150000,1,1,2,33,8399,0
150000,2,2,1,39,2000,0
110000,2,2,2,33,102,1
90000,2,2,2,34,0,0
30000,1,2,2,30,1000,0
170000,2,2,2,27,6200,0
50000,2,2,2,22,567,0
60000,1,2,2,25,2435,0
180000,1,1,1,36,1000,1
300000,2,1,2,31,500,0
150000,2,5,2,46,0,1
